,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_reduce_dim,param_vectorizer__analyzer,param_vectorizer__min_df,param_classifier__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.442964935,0.00459255,11.77828407,0.670166895,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function stem_rmv_punc at 0x00000198EB0F0048>,3,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 3}",0.976768743,0.979936642,0.975712777,0.971458774,0.975661376,0.975908707,0.002715427,1,0.977278732,0.978335535,0.977807133,0.978341257,0.978611038,0.978074739,0.000475795
8,0.505328941,0.006667614,0.179833508,0.005251509,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",word,3,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 3}",0.972544879,0.978880676,0.976768743,0.971458774,0.978835979,0.97569738,0.003131368,2,0.979656539,0.978071334,0.975693527,0.979397781,0.979403222,0.978444481,0.001483512
0,2.738229513,0.096200551,0.188575792,0.008651717,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",word,3,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 3}",0.974656811,0.978880676,0.975712777,0.968287526,0.978835979,0.975274725,0.003874255,3,0.980449141,0.97675033,0.975429326,0.979661912,0.977554793,0.977969101,0.001850606
11,0.423169708,0.032283307,11.95943503,0.751293734,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function stem_rmv_punc at 0x00000198EB0F0048>,5,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 5}",0.973600845,0.978880676,0.974656811,0.972515856,0.976719577,0.975274725,0.002275499,3,0.978071334,0.979392338,0.977542933,0.979397781,0.978611038,0.978603085,0.000729549
18,0.429609919,0.015049683,11.40575404,0.587027302,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function stem_rmv_punc at 0x00000198EB0F0048>,3,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 3}",0.975712777,0.97782471,0.973600845,0.971458774,0.975661376,0.974852071,0.002159335,5,0.978071334,0.978071334,0.976221929,0.978869519,0.978611038,0.977969031,0.000926968
19,0.376498461,0.016593081,11.44527597,0.652848383,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function stem_rmv_punc at 0x00000198EB0F0048>,5,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 5}",0.974656811,0.97782471,0.975712777,0.972515856,0.973544974,0.974852071,0.001832113,5,0.977014531,0.977807133,0.976486129,0.979397781,0.978346976,0.97781051,0.001019294
2,50.62635579,2.292742344,12.12913971,0.505013258,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function stem_rmv_punc at 0x00000198EB0F0048>,3,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 3}",0.976768743,0.976768743,0.973600845,0.971458774,0.974603175,0.974640744,0.002013288,7,0.978335535,0.978335535,0.976486129,0.978341257,0.97913916,0.978127523,0.000877474
16,0.486019564,0.010477191,0.170596552,0.010834477,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",word,3,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 3}",0.974656811,0.975712777,0.975712777,0.969344609,0.977777778,0.974640744,0.002834214,7,0.97992074,0.977278732,0.975429326,0.978605388,0.977290731,0.977704984,0.001500148
17,0.423358393,0.010572952,0.166101789,0.011471928,"LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",word,5,l2,"{'classifier': LogisticRegression(C=100, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l2', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 5}",0.972544879,0.976768743,0.978880676,0.970401691,0.974603175,0.974640744,0.002995947,7,0.980184941,0.97675033,0.977278732,0.978341257,0.978875099,0.978286072,0.001210697
1,2.508876562,0.070987717,0.194270897,0.012713659,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",word,5,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 5}",0.971488912,0.97782471,0.978880676,0.968287526,0.975661376,0.974429417,0.003980854,10,0.97992074,0.976486129,0.976486129,0.978605388,0.978346976,0.977969073,0.00132325
3,49.65455279,1.63349829,12.12594295,0.368730073,"LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",<function stem_rmv_punc at 0x00000198EB0F0048>,5,,"{'classifier': LinearSVC(C=10, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0), 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': <function stem_rmv_punc at 0x00000198EB0F0048>, 'vectorizer__min_df': 5}",0.974656811,0.976768743,0.973600845,0.972515856,0.973544974,0.97421809,0.001444478,11,0.977542933,0.977278732,0.976221929,0.979926043,0.978611038,0.977916135,0.001260041
9,0.475847101,0.008506206,0.177473307,0.008552907,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False)","TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0)",word,5,l1,"{'classifier': LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,
          penalty='l1', random_state=None, solver='liblinear', tol=0.0001,
          verbose=0, warm_start=False), 'classifier__penalty': 'l1', 'reduce_dim': TruncatedSVD(algorithm='randomized', n_components=50, n_iter=5,
       random_state=0, tol=0.0), 'vectorizer__analyzer': 'word', 'vectorizer__min_df': 5}",0.96937698,0.976768743,0.97782471,0.970401691,0.976719577,0.97421809,0.003571667,11,0.97992074,0.978335535,0.976221929,0.978869519,0.979667283,0.978603001,0.001317665
